year,fips,beverage_type,beverage_name,gallons_beverage,gallons_ethanol,population_14plus,ethanol_pc_14plus,decile_14plus,population_21plus,ethanol_pc_21plus,decile_21plus,data_source,abv,ethanol_timevarying_abv,ethanol_pc_14plus_x10000,ethanol_pc_21plus_x10000,abv_x1000,Unnamed: 18,Unnamed: 19,location_abbr
2020,17,1,Spirits,22838096.0,9386457,1063226,0.8828,6.0,943341,0.995,6.0,1.0,0.376,8587124,8828,9950,376.0,,,IL
2020,17,2,Wine,38509869.0,4967773,1063226,0.4672,5.0,943341,0.5266,5.0,1.0,0.12,4621184,4672,5266,120.0,,,IL
2020,17,3,Beer,243430029.0,10954351,1063226,1.0303,7.0,943341,1.1612,6.0,1.0,0.047,11441211,10303,11612,47.0,,,IL
2020,17,4,All beverages,,25308582,1063226,2.3804,6.0,943341,2.6829,6.0,,,24649519,23804,26829,,,,IL
2020,18,1,Spirits,14338534.0,5893137,557866,1.0564,4.0,491009,1.2002,4.0,1.0,0.373,5348273,10564,12002,373.0,,,IN
2020,18,2,Wine,14437173.0,1862395,557866,0.3338,7.0,491009,0.3793,7.0,1.0,0.118,1703586,3338,3793,118.0,,,IN
2020,18,3,Beer,115914366.0,5216146,557866,0.935,8.0,491009,1.0623,8.0,1.0,0.047,5447975,9350,10623,47.0,,,IN
2020,18,4,All beverages,,12971679,557866,2.3252,6.0,491009,2.6418,6.0,,,12499834,23252,26418,,,,IN
2020,19,1,Spirits,6379038.0,2621785,262809,0.9976,5.0,231056,1.1347,5.0,3.0,0.362,2309212,9976,11347,362.0,,,IA
2020,19,2,Wine,4739814.0,611436,262809,0.2327,9.0,231056,0.2646,9.0,3.0,0.117,554558,2327,2646,117.0,,,IA
2020,19,3,Beer,72715949.0,3272218,262809,1.2451,3.0,231056,1.4162,2.0,3.0,0.046,3344934,12451,14162,46.0,,,IA
2020,19,4,All beverages,,6505438,262809,2.4753,5.0,231056,2.8155,5.0,,,6208704,24753,28155,,,,IA
2020,20,1,Spirits,5200227.0,2137293,239791,0.8913,6.0,209877,1.0184,6.0,2.0,0.382,1986487,8913,10184,382.0,,,KS
2020,20,2,Wine,2649367.0,341768,239791,0.1425,10.0,209877,0.1628,10.0,7.0,0.117,309976,1425,1628,117.0,,,KS
2020,20,3,Beer,57031296.0,2566408,239791,1.0703,6.0,209877,1.2228,6.0,2.0,0.048,2737502,10703,12228,48.0,,,KS
2020,20,4,All beverages,,5045470,239791,2.1041,9.0,209877,2.404,8.0,,,5033965,21041,24040,,,,KS
2020,21,1,Spirits,8811961.0,3621716,372991,0.971,6.0,331412,1.0928,5.0,2.0,0.388,3419041,9710,10928,388.0,,,KY
2020,21,2,Wine,6885198.0,888191,372991,0.2381,9.0,331412,0.268,9.0,2.0,0.118,812453,2381,2680,118.0,,,KY
